1;1;8
2;2;1
3;3;1
4;2;9
5;2;4
6;4;3
7;3;5
8;6;3
9;4;10
10;7;5
11;5;10
12;6;13
13;12;7
14;7;11
15;9;8
16;8;19
17;10;9
18;9;18
19;11;10
20;11;17
21;11;14
22;12;15
23;16;12
24;13;12
25;13;16
26;14;17
27;14;22
28;15;14
29;16;15
30;15;23
31;17;18
32;17;21
33;18;20
34;20;19
35;19;26
36;26;20
37;21;20
38;22;21
39;23;22
40;22;24
41;23;24
42;24;25
43;25;26
44;306;11
45;285;214
46;504;217
47;457;267
48;369;99
49;559;130
50;271;16
51;359;589
52;329;154
53;388;77
54;119;87
55;592;453
56;79;253
57;370;441
58;81;61
59;59;230
60;175;569
61;271;368
62;349;447
63;507;314
64;181;411
65;164;391
66;572;279
67;127;397
68;195;87
69;527;556
70;562;41
71;233;462
72;16;23
73;175;42
74;85;274
75;547;212
76;348;292
77;111;591
78;541;542
79;271;35
80;183;3
81;461;374
82;128;236
83;48;385
84;35;77
85;257;467
86;48;289
87;227;395
88;550;48
89;386;34
90;80;475
91;325;491
92;136;359
93;406;554
94;15;342
95;492;245
96;25;344
97;351;46
98;55;114
99;293;50
100;159;590
101;286;293
102;202;228
103;137;120
104;517;314
105;333;328
106;328;125
107;298;540
108;561;62
109;453;406
110;170;230
111;458;206
112;408;399
113;488;118
114;274;120
115;578;68
116;511;307
117;241;380
118;133;375
119;587;556
120;413;541
121;228;369
122;8;52
123;267;337
124;132;573
125;62;196
126;539;450
127;320;286
128;437;464
129;275;181
130;369;180
131;353;573
132;417;2
133;214;455
134;60;518
135;92;382
136;98;26
137;406;359
138;524;55
139;576;168
140;418;33
141;450;359
142;329;501
143;427;100
144;302;46
145;319;274
146;582;176
147;184;392
148;198;431
149;177;249
150;408;175
151;96;46
152;433;119
153;403;188
154;466;549
155;184;513
156;403;307
157;521;545
158;429;351
159;30;139
160;80;283
161;546;469
162;140;568
163;401;26
164;474;504
165;196;268
166;411;365
167;536;594
168;145;118
169;293;75
170;454;583
171;417;211
172;269;394
173;50;122
174;144;599
175;550;378
176;507;28
177;473;239
178;266;126
179;154;77
180;557;513
181;433;106
182;596;313
183;519;184
184;559;411
185;493;375
186;309;592
187;23;4
188;267;428
189;454;243
190;173;356
191;485;378
192;331;594
193;445;499
194;438;351
195;374;22
196;213;93
197;246;554
198;408;122
199;242;225
200;105;319
201;311;590
202;359;180
203;164;140
204;232;487
205;478;36
206;143;326
207;378;560
208;70;472
209;131;507
210;378;95
211;40;507
212;519;548
213;405;88
214;54;35
215;211;404
216;449;554
217;356;198
218;592;545
219;536;46
220;581;423
221;120;155
222;349;468
223;173;568
224;592;225
225;14;569
226;147;356
227;504;432
228;367;460
229;436;248
230;195;113
231;318;82
232;209;498
233;434;99
234;119;551
235;96;458
236;575;181
237;548;599
238;20;232
239;348;453
240;137;490
241;34;17
242;532;587
243;481;560
244;569;353
245;37;397
246;57;411
247;63;6
248;380;180
249;206;52
250;408;196
251;20;62
252;467;510
253;184;236
254;105;483
255;387;346
256;519;596
257;231;384
258;517;539
259;106;197
260;552;467
261;212;405
262;157;68
263;48;34
264;217;105
265;132;341
266;267;126
267;9;553
268;246;365
269;243;297
270;550;421
271;89;359
272;386;462
273;449;321
274;460;513
275;43;530
276;597;250
277;279;104
278;140;287
279;550;576
280;156;33
281;596;453
282;245;353
283;577;438
284;243;294
285;147;518
286;350;242
287;325;72
288;557;203
289;530;73
290;22;15
291;148;422
292;245;170
293;386;30
294;116;256
295;67;280
296;254;293
297;447;192
298;154;397
299;51;51
300;512;277
