1;20;102;park
2;20;89;null
3;48;100;gas
4;52;82;park
5;35;60;null
6;50;57;food
7;47;44;park
8;80;48;uni
9;95;55;park
10;81;74;food
11;82;113;mall
12;107;87;gas
13;130;117;null
14;145;102;gas
15;140;80;park
16;131;64;cinema
17;125;50;gas
18;138;40;null
19;148;43;mall
20;154;33;null
21;159;23;park
22;165;26;null
23;162;30;food
24;166;39;null
25;162;56;null
26;165;76;null
27;162;98;park
28;161;106;null
29;160;127;park
30;192;124;uni
31;220;118;null
32;195;98;gas
33;234;91;park
34;221;78;mall
35;213;76;null
36;188;67;null
37;176;72;park
38;178;53;gas
39;180;36;cinema
40;189;41;null
41;197;47;park
42;212;41;uni
43;238;60;null
